Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
5098,5098,4.008,0.25,2,6,0,0.02,0.33,-1.29,1.5,2.5,0.75,1.75,0,0.75
5099,5099,4.008,0.25,2,6,0,0.08,0.18,-1.29,1.5,2.5,0.75,1.75,0,0.75
5100,5100,4.008,0.25,2,6,0,0.04,0.11,-1.29,1.5,2.5,0.75,1.75,0,0.75
5101,5101,4.008,0.25,2,6,0,0.12,0.15,-1.29,1.5,2.5,0.75,1.75,0,0.75
5102,5102,4.008,0.25,2,6,0,0.16,0.21,-1.29,1.5,2.5,0.75,1.75,0,0.75
5103,5103,4.008,0.25,2,6,0,0.09,0.23,-1.29,1.5,2.5,0.75,1.75,0,0.75
5104,5104,4.008,0.25,2,6,0,0.09,0.14,-1.29,1.5,2.5,0.75,1.75,0,0.75
5105,5105,4.008,0.25,2,6,0,0.09,0.19,-1.29,1.5,2.5,0.75,1.75,0,0.75
5106,5106,4.008,0.25,2,6,0,0.04,0.05,-1.29,1.5,2.5,0.75,1.75,0,0.75
5107,5110,4.008,0.25,2,6,0,0.04,0.05,-1.29,1.5,2.5,0.75,1.75,0,0.75
5107,5107,4.008,0.25,2,6,0,0.1,-0.06,-1.29,1.5,2.5,0.75,1.75,0,0.75
5108,5108,4.008,0.25,2,6,0,0.21,0.26,-1.29,1.5,2.5,0.75,1.75,0,0.75
5109,5109,4.008,0.25,2,6,0,0.19,0.31,-1.29,1.5,2.5,0.75,1.75,0,0.75
5111,5111,4.008,0.25,2,6,0,0.07,-0.01,-1.29,1.5,2.5,0.75,1.75,0,0.75
5113,5113,4.008,0.25,2,6,0,0.12,0.14,-1.29,1.5,2.5,0.75,1.75,0,0.75
5114,5114,4.008,0.25,2,6,0,0.08,0.27,-1.29,1.5,2.5,0.75,1.75,0,0.75
5115,5115,4.008,0.25,2,6,0,0.11,0.26,-1.29,1.5,2.5,0.75,1.75,0,0.75
5116,5116,4.008,0.25,2,6,0,0.07,0.41,-1.29,1.5,2.5,0.75,1.75,0,0.75
5117,5117,4.008,0.25,2,6,0,0.05,0.08,-1.29,1.5,2.5,0.75,1.75,0,0.75
5118,5118,4.008,0.25,2,6,0,0.11,0.2,-1.29,1.5,2.5,0.75,1.75,0,0.75
5119,5119,4.008,0.25,2,6,0,0.05,0.26,-1.29,1.5,2.5,0.75,1.75,0,0.75
5120,5120,4.008,0.25,2,6,0,0.16,0.07,-1.29,1.5,2.5,0.75,1.75,0,0.75
5122,5122,4.008,0.25,2,6,0,0.11,0,-1.29,1.5,2.5,0.75,1.75,0,0.75
5123,5127,4.008,0.25,2,6,0,0.11,0,-1.29,1.5,2.5,0.75,1.75,0,0.75
5125,5125,4.008,0.25,2,6,0,0.13,-0.4,-1.29,1.5,2.5,0.75,1.75,0,0.75
5126,5126,4.008,0.25,2,6,0,0.28,0.79,-1.29,1.5,2.5,0.75,1.75,0,0.75
5128,5128,4.008,0.25,2,6,0,0.32,0.05,-1.29,1.5,2.5,0.75,1.75,0,0.75
5129,5129,4.008,0.25,2,6,0,0.1,0.04,-1.29,1.5,2.5,0.75,1.75,0,0.75
5130,5130,4.008,0.25,2,6,0,0.13,0.5,-1.29,1.5,2.5,0.75,1.75,0,0.75
5131,5131,4.008,0.25,2,6,0,0.22,0.24,-1.29,1.5,2.5,0.75,1.75,0,0.75
5132,5132,4.008,0.25,2,6,0,0.18,0.31,-1.29,1.5,2.5,0.75,1.75,0,0.75
5133,5133,4.008,0.25,2,6,0,0.31,0.06,-1.29,1.5,2.5,0.75,1.75,0,0.75
5134,5134,4.008,0.25,2,6,0,0.18,-0.04,-1.29,1.5,2.5,0.75,1.75,0,0.75
5135,5135,4.008,0.25,2,6,0,0.42,-0.04,-1.29,1.5,2.5,0.75,1.75,0,0.75
5136,5136,4.008,0.25,2,6,0,0.12,-0.01,-1.29,1.5,2.5,0.75,1.75,0,0.75
5137,5137,4.008,0.25,2,6,0,0.24,0.68,-1.29,1.5,2.5,0.75,1.75,0,0.75
5138,5138,4.008,0.25,2,6,0,0.17,-0.21,-1.29,1.5,2.5,0.75,1.75,0,0.75
5139,5139,4.008,0.25,2,6,0,0.16,-0.75,-1.29,1.5,2.5,0.75,1.75,0,0.75
5140,5140,4.008,0.25,2,6,0,0.18,-0.05,-1.29,1.5,2.5,0.75,1.75,0,0.75
5141,5141,4.008,0.25,2,6,0,0.24,0.39,-1.29,1.5,2.5,0.75,1.75,0,0.75
5142,5142,4.008,0.25,2,6,0,0.31,0.18,-1.29,1.5,2.5,0.75,1.75,0,0.75
5143,5143,4.008,0.25,2,6,0,0.24,-0.44,-1.29,1.5,2.5,0.75,1.75,0,0.75
5144,5144,4.008,0.25,2,6,0,0.36,0.38,-1.29,1.5,2.5,0.75,1.75,0,0.75
5183,5183,4.008,0.25,2,6,0,0.05,-0.06,-1.29,1.5,2.5,0.75,1.75,0,0.75
